No Tiang,Alamat,Sg,Ml
DNG01 091,Patakbanteng,√,√
DNG01 093 B005,Jojogan,√,√
DNG01 093 B006,Jojogan,√,√
DNG01 093 B008 S001,Jojogan,√,√
DNG01 093 T002,Patakbanteng,√,√
DNG01 096,Patakbanteng,√,√
DNG01 098,Patakbanteng,√,√
DNG01 104,Parikesit,√,√
DNG01 104 B005,Parikesit,√,√
DNG01 112,Wadasputih,√,√
DNG01 116,Wadasputih,√,√
DNG01 137,Gardu pandang,√,√
DNG01 138,Gardu pandang,√,√
DNG01 150,Tieng,√,√
DNG01 155,Tieng,√,√
DNG01 156,Tieng,√,√
DNG01 160,Tieng,√,√
DNG01 160 B003,Tieng,√,√
DNG01 160 B005,Tieng,√,√
DNG01 169 U002,Rowojali,√,√
DNG01 169 U010,Lobang,√,√
DNG01 169 U010 T002,Mutisari,√,√
DNG01 169 U010 T006,Surengede,√,√
DNG01 169 U010 T007,Surengede,√,√
DNG01 169 U013,Lobang,√,√
DNG01 171,Rowomukti,√,√
DNG01 180,Gataksari,√,√
DNG01 181,Gataksari,√,√
DNG01 185,Gataksari,√,√
DNG01 188 T019,Krakal,√,√
DNG01 188 T025,Krakal,√,√
DNG01 188 T036,Kandang ayam igir,√,√
DNG01 188 T037 U018,Igirmranak,√,√
DNG01 188 T052,Gejugan,√,√
DNG01 188 T063,Wates,√,√
DNG01 188 T064,Wates,√,√
DNG01 194 B004,Kejajar,√,√
DNG01 194 B005,Kejajar,√,√
DNG01 194 B010,Serangsari,√,√
DNG01 194 B014,Serangsari,√,√
DNG01 211,Kejajar,√,√
DNG01 224 T003,Rejosari,√,√
DNG01 224 T007 U003,Tambi,√,√
DNG01 224 T007 U006,Tambi,√,√
